Year,Season,Indicator,Value,Value_var,stat_area
1980,all,fvcom_bs,0.3227639908509287,0.962920450751526,511-513
1980,all,fvcom_sss,0.43094303246091753,1.2476733951716452,511-513
1980,fall,fvcom_bs,0.22481721407557695,0.7833717024114214,511-513
1980,fall,fvcom_sss,0.2505916142200378,0.8207231889483592,511-513
1980,spring,fvcom_bs,0.41701541657531627,1.1471766326471255,511-513
1980,spring,fvcom_sss,0.628720052422698,2.0773820202883284,511-513
1980,summer,fvcom_bs,0.3122216009182788,0.8435538597766754,511-513
1980,summer,fvcom_sss,0.4469773714374474,0.7634334919375945,511-513
1980,winter,fvcom_bs,0.386707794255266,1.1277167009632902,511-513
1980,winter,fvcom_sss,0.391481130198592,1.1051752532740506,511-513
1981,all,fvcom_bs,0.059047821587137624,1.0375851795114401,511-513
1981,all,fvcom_sss,0.18014283103354037,1.753231478261411,511-513
1981,fall,fvcom_bs,-0.17585350237215497,1.0329450426083109,511-513
1981,fall,fvcom_sss,-0.04584393440276468,2.322912369628032,511-513
1981,spring,fvcom_bs,0.21717471323378482,1.2617220842595427,511-513
1981,spring,fvcom_sss,0.35799029420712636,1.9534978810101613,511-513
1981,summer,fvcom_bs,0.17142967981806076,0.7623681517551546,511-513
1981,summer,fvcom_sss,0.3281594679807838,1.0845619716490666,511-513
1981,winter,fvcom_bs,0.214745675123425,0.7878463898933991,511-513
1981,winter,fvcom_sss,0.36408401474175617,1.3166021969364048,511-513
1982,all,fvcom_bs,0.12814159242139703,1.1047882718577129,511-513
1982,all,fvcom_sss,0.16006479576372518,1.5762983112869644,511-513
1982,fall,fvcom_bs,0.04788981923137074,0.6760805827058145,511-513
1982,fall,fvcom_sss,0.22412153424771128,0.9673074288283012,511-513
1982,spring,fvcom_bs,0.33899070600130354,1.5200619052000115,511-513
1982,spring,fvcom_sss,0.29390068881628023,2.7961113735124243,511-513
1982,summer,fvcom_bs,0.11178225168589166,1.1212383197119142,511-513
1982,summer,fvcom_sss,0.19088226561761007,1.0162858903933958,511-513
1982,winter,fvcom_bs,-0.1436330029902476,1.2252008957465803,511-513
1982,winter,fvcom_sss,-0.3063008635838882,1.5474884326188802,511-513
1983,all,fvcom_bs,0.06626066097120645,1.4000883508507964,511-513
1983,all,fvcom_sss,-0.00540915578999442,2.0819345104095146,511-513
1983,fall,fvcom_bs,0.1746135372419915,0.921945822143577,511-513
1983,fall,fvcom_sss,0.10519869133990412,0.9853146081225445,511-513
1983,spring,fvcom_bs,-0.0328229596655011,2.218995369746774,511-513
1983,spring,fvcom_sss,-0.07197012366833117,3.96024136208367,511-513
1983,summer,fvcom_bs,0.023778037180918886,1.308398911536644,511-513
1983,summer,fvcom_sss,-0.14328944174402217,1.3563889800527251,511-513
1983,winter,fvcom_bs,0.10591603362966479,0.8188273466677148,511-513
1983,winter,fvcom_sss,0.23187247590314788,1.3160788683547142,511-513
1984,all,fvcom_bs,-0.03484896239952481,1.4083266840497595,511-513
1984,all,fvcom_sss,-0.14116745085303373,1.9592208376918758,511-513
1984,fall,fvcom_bs,0.008242623936700067,0.7533138861664543,511-513
1984,fall,fvcom_sss,0.025991203695918463,0.6664355716338412,511-513
1984,spring,fvcom_bs,-0.05669856443410853,2.046649869949537,511-513
1984,spring,fvcom_sss,-0.08676431866587525,3.378575976832118,511-513
1984,summer,fvcom_bs,-0.1788828981963288,1.841852279506938,511-513
1984,summer,fvcom_sss,-0.5255513217737159,2.341826963740834,511-513
1984,winter,fvcom_bs,0.0753062395947923,1.2902367552345475,511-513
1984,winter,fvcom_sss,-0.11824414787014557,2.029134875166987,511-513
1985,all,fvcom_bs,0.31121575151056574,0.9093915410883121,511-513
1985,all,fvcom_sss,0.4218466510362486,1.1342039775841535,511-513
1985,fall,fvcom_bs,0.10297032333551083,0.8116474146076138,511-513
1985,fall,fvcom_sss,0.14659796504030387,0.9076917987853971,511-513
1985,spring,fvcom_bs,0.5131848595474569,1.0872848277017944,511-513
1985,spring,fvcom_sss,0.6969075275052798,1.7051196120610272,511-513
1985,summer,fvcom_bs,0.3321727454889536,0.9672645159610515,511-513
1985,summer,fvcom_sss,0.4444683009235204,0.9882542189276375,511-513
1985,winter,fvcom_bs,0.28965969327409496,0.6694993604831234,511-513
1985,winter,fvcom_sss,0.3993799619525855,0.7311623044571126,511-513
1986,all,fvcom_bs,0.26088374602335174,1.0580127999734792,511-513
1986,all,fvcom_sss,0.3543388846853844,1.620495866696947,511-513
1986,fall,fvcom_bs,0.15926806345037992,0.7496409209708548,511-513
1986,fall,fvcom_sss,0.2718178907307072,1.0062495343189617,511-513
1986,spring,fvcom_bs,0.3839781079246549,1.4882497866538542,511-513
1986,spring,fvcom_sss,0.541772197534278,2.7004028735707593,511-513
1986,summer,fvcom_bs,0.29407042606673245,1.0135144745170503,511-513
1986,summer,fvcom_sss,0.35141115116457566,1.2565061193269362,511-513
1986,winter,fvcom_bs,0.22835445950595976,0.8677924789722454,511-513
1986,winter,fvcom_sss,0.2687852328141394,1.219088853268641,511-513
1987,all,fvcom_bs,-0.0098593418678707,1.0803140108031761,511-513
1987,all,fvcom_sss,-0.015144372428931976,1.3960435236134086,511-513
1987,fall,fvcom_bs,-0.032302251044804574,0.7877831352618774,511-513
1987,fall,fvcom_sss,-0.0764405597002699,0.7984148268896296,511-513
1987,spring,fvcom_bs,-0.0837918455741314,1.759992422121687,511-513
1987,spring,fvcom_sss,-0.1377353478206555,2.7895984828229636,511-513
1987,summer,fvcom_bs,-0.001767426182884071,0.8840057672672609,511-513
