Year,Season,Indicator,Value,stat_area,Value_var
2004,summer,oisst,-1.0726116922717464,512,0.6114171929409912
2004,summer,oisst,-0.9374823397484379,513,0.45248497188049
2005,summer,oisst,-0.9867418896793123,511,0.640613030499782
2005,summer,oisst,-0.7167563053069809,512,0.8422720274149122
2005,summer,oisst,-0.26474230358566064,513,1.5310509332663331
2006,summer,oisst,0.7477145681413121,511,0.40859971994291844
2006,summer,oisst,0.8323599176731362,512,0.8621365622732142
2006,summer,oisst,0.7115846453369528,513,1.0408591907777653
2007,summer,oisst,-0.3759977630149561,511,0.9220799416648255
2007,summer,oisst,-0.052796026709399736,512,1.103799746890556
2007,summer,oisst,0.08835098752077075,513,1.4828438334896499
2008,summer,oisst,0.3899219554403554,511,0.8053491255983898
2008,summer,oisst,0.9986311758398334,512,1.0102405521152895
2008,summer,oisst,1.4075130867785302,513,0.8779861579054872
2009,summer,oisst,0.55132661974151,511,1.6403737600523385
2009,summer,oisst,0.42438733893215996,512,1.1276696587528492
2009,summer,oisst,0.49275313771289325,513,2.6965764512992236
2010,summer,oisst,1.3856242679831974,511,1.020385331726837
2010,summer,oisst,1.6057531020141054,512,1.1912661692031887
2010,summer,oisst,1.8707965949307317,513,1.3271176217021756
2011,summer,oisst,0.4973885147866597,511,1.2396152652282861
2011,summer,oisst,0.9676434682763141,512,0.9489024451652561
2011,summer,oisst,1.0614216059878252,513,1.026143711184017
2012,summer,oisst,2.6215105363756517,511,1.0219021364617802
2012,summer,oisst,2.4654128039942345,512,0.951444835253835
2012,summer,oisst,2.6981018133785413,513,1.2890764675653645
2013,summer,oisst,0.9863516825896043,511,0.9160567584754976
2013,summer,oisst,1.4142549797357369,512,1.1723255799844952
2013,summer,oisst,1.3186362878136013,513,1.6828093799652895
2014,summer,oisst,0.779177789704058,511,0.9923844757703622
2014,summer,oisst,1.059217187091849,512,1.1567661204597577
2014,summer,oisst,1.2345103638759558,513,1.0121862243384534
2015,summer,oisst,0.20564101810838067,511,1.9396432519841404
2015,summer,oisst,0.9906349596769913,512,2.1229845890743637
2015,summer,oisst,0.6765846415706303,513,1.438838330842901
2016,summer,oisst,1.3984838110148707,511,0.7555746871493971
2016,summer,oisst,1.8599638616655634,512,0.8451495260050534
2016,summer,oisst,2.0159143200819045,513,1.1788612542759735
2017,summer,oisst,0.3092196226917382,511,0.9159598557973516
2017,summer,oisst,0.6052096561583319,512,0.9012548771268045
2017,summer,oisst,0.9090529364952142,513,1.1380805674899737
2018,summer,oisst,1.768149366745582,511,1.3322349328520033
2018,summer,oisst,1.9207105458571465,512,1.4106220407206063
2018,summer,oisst,2.134578275507775,513,1.0641410534555924
2019,summer,oisst,0.3015440339627473,511,0.9593780554208692
2019,summer,oisst,0.7941841051574015,512,1.0449161419514612
2019,summer,oisst,1.1057467857996623,513,1.189752461193299
1982,winter,oisst,0.3533256239361233,511,0.30471630896428725
1982,winter,oisst,0.42827632179582753,512,0.3463853103167704
1982,winter,oisst,0.058747219487472815,513,0.18572486023606688
1983,winter,oisst,0.9376674876253829,511,0.2502270208689614
1983,winter,oisst,0.9076965978756043,512,0.23021763461915692
1983,winter,oisst,0.7741407239878619,513,0.27014447518337276
1984,winter,oisst,0.46823774931900397,511,0.3466836817135917
1984,winter,oisst,0.4744989289317015,512,0.3229896485333982
1984,winter,oisst,0.13009994457929563,513,0.3367829350730579
1985,winter,oisst,0.8290606553737934,511,0.23798527586349225
1985,winter,oisst,0.9605081853083366,512,0.23658555076632076
1985,winter,oisst,1.0209833108716542,513,0.33210362583298514
1986,winter,oisst,-0.023067526532034588,511,0.24835070257411254
1986,winter,oisst,0.01579323569357683,512,0.14893212870262854
1986,winter,oisst,-0.026951853268676336,513,0.1685956610950082
1987,winter,oisst,-0.2223410313964909,511,0.12069725279756806
