Year,Season,Indicator,Value,stat_area,Value_var
1980,all,fvcom_bt,-0.04014753938448905,511-513,NA
1980,all,fvcom_sst,-0.18994265740813232,511-513,NA
1980,fall,fvcom_bt,-0.3035604924509211,511-513,NA
1980,fall,fvcom_sst,-0.7601206431518783,511-513,NA
1980,spring,fvcom_bt,0.14870163357164762,511-513,NA
1980,spring,fvcom_sst,1.1570924111164598,511-513,NA
1980,summer,fvcom_bt,0.4554648387932386,511-513,NA
1980,summer,fvcom_sst,-0.5990435912591268,511-513,NA
1980,winter,fvcom_bt,0.06624411246291168,511-513,NA
1980,winter,fvcom_sst,-0.02153906750174927,511-513,NA
1981,all,fvcom_bt,-0.17065643403820804,511-513,NA
1981,all,fvcom_sst,-0.2086629285581241,511-513,NA
1981,all,oisst,-0.22737794979091683,511-513,NA
1981,fall,fvcom_bt,-0.7405785853167147,511-513,NA
1981,fall,fvcom_sst,-0.9304286666433749,511-513,NA
1981,fall,oisst,-0.3628798726390743,511-513,NA
1981,spring,fvcom_bt,0.6481092471122463,511-513,NA
1981,spring,fvcom_sst,1.326286446897355,511-513,NA
1981,summer,fvcom_bt,0.26093660520023626,511-513,NA
1981,summer,fvcom_sst,-0.3586973335809441,511-513,NA
1981,winter,fvcom_bt,-1.1935702349493968,511-513,NA
1981,winter,fvcom_sst,-1.4108710665914674,511-513,NA
1982,all,fvcom_bt,-0.04835581420268209,511-513,NA
1982,all,fvcom_sst,-0.25547687304386024,511-513,NA
1982,all,oisst,-0.03367935879609152,511-513,NA
1982,fall,fvcom_bt,-0.3990423389692384,511-513,NA
1982,fall,fvcom_sst,-0.3271109850127573,511-513,NA
1982,fall,oisst,0.15024386014398033,511-513,NA
1982,spring,fvcom_bt,0.36332890069779655,511-513,NA
1982,spring,fvcom_sst,0.2005705063038311,511-513,NA
1982,spring,oisst,0.3256623663240819,511-513,NA
1982,summer,fvcom_bt,-0.23414703622526123,511-513,NA
